SAP_FLUX,SAP_BKG,PDCSAP_FLUX,MOM_CENTR1,MOM_CENTR2,POS_CORR1,POS_CORR2,RESULT
228841.831873,4480.2804135,217814.913796,40.9260091241,59.3439501365,-0.19287523634,-0.288948380345,0
237982.795429,5339.2329994,242314.890204,40.7265820014,52.4109467495,-0.0415543754699,-0.0631358692655,0
192691.310861,3348.90705607,201954.919868,43.1066324197,50.5623550722,-2.3796354891,-2.76226798366,0
214230.276069,5300.17959791,219826.862575,41.6213219443,54.0563752325,-2.30363259585,-2.96821453509,0
202208.088315,4347.49956063,207954.321069,35.8017608639,51.9204259903,-0.0483290703807,-0.0791104893128,0
8550.84653133,757.872315794,10941.5316427,72.7748393788,45.8012092495,-0.0014970756541,-0.00389056318702,0
5956.7411598,651.812228664,8551.71801074,74.1253252403,45.1056052824,-1.99646007416,-1.23454834957,0
7558.35744847,1200.71323846,9638.44754563,72.9310538769,48.7100291129,0.0140328146519,0.0252397934299,0
7892.74839823,1316.58663472,9427.22236797,69.3813146277,50.5717017395,-3.34041182882,-2.47136437612,0
8445.46704681,795.875163941,10737.1530879,71.1730720003,44.7866725727,-0.0397853185773,-0.0470868222256,0
6058.15171447,672.973997081,8709.00146573,76.8866991565,46.7832729723,-0.00168282356102,0.00516696960404,0
7601.94238616,1211.9218846,9694.22656205,74.4075111181,49.6928358799,0.0107230745621,0.0236379245647,0
6651.15263964,825.107424984,9806.97529675,70.4136547347,51.3612563245,-3.12368842603,-2.30612874386,0
8482.50263127,840.683718457,10774.7201153,71.7440506542,45.1674258102,-0.135174974617,-0.114883662895,0
6466.45249144,693.214486202,9305.66553423,78.9435904017,48.0936901167,-0.00228319663966,0.000935362209038,0
6214.08974194,686.931105563,8766.38774851,78.8657571465,47.9854046364,-0.000459265560478,0.00338654525255,0
5985.59233812,675.784872149,8629.30085791,76.8717046635,46.7756785823,-0.0749640079162,-0.0361530350186,0
5750.79753581,700.108000487,8270.27890495,78.7887939587,47.8887185161,0.00107917256373,0.00441872184451,0
7428.65316822,1129.8035271,9416.21834694,76.809920101,51.2751115903,0.000949114961766,0.00628343388715,0
7784.4747115,1219.90733964,9787.15007519,76.762684083,51.2587296616,0.000859812898178,0.00378024520832,0
7369.87816612,1205.23266378,9320.84832222,73.1420657999,48.8483252254,-1.94923518384,-1.29615817513,0
7468.24119992,1342.24437596,9447.78188108,71.5996402375,47.8444373861,0.000541422133622,0.00225429200986,0
6347.96373197,846.928978184,8139.46822656,73.9343071283,53.9306948624,0.000737788179148,0.00175995918137,0
6962.41848844,897.557868974,10195.8353407,73.9501487109,53.9969317558,0.000933700765617,-0.00234163060121,0
6666.6979442,831.175524613,8881.61853329,71.6452470268,52.3228624418,-0.335483290724,-0.257671205536,0
7333.29734308,847.406153594,8914.17683949,74.0541836132,54.126357329,-0.000921689897108,-0.0057103011569,0
8670.2880064,947.121078304,10900.6068646,73.2757319668,46.1578453889,-0.00326814150951,-0.00577402852875,0
8596.72116641,836.767943076,10777.215155,73.2825177127,46.145454193,-0.00323011500147,-0.00632259696892,0
8333.15151364,836.830454166,10439.9990243,71.4415504672,44.9756762906,-0.0556906514344,-0.0599052118131,0
8357.13718728,776.033684013,10406.4627784,73.278629161,46.0884798375,-0.000985592593553,-0.000282861315937,0
5144.90391307,559.836205969,7118.84673759,63.5244000504,38.708173476,-0.00242975489818,-0.000400036658587,0
6125.4027762,683.804973511,8836.41084664,78.8724124427,47.9967812288,-0.00140968131796,0.00378627643611,0
5494.73648394,629.145685362,7820.73162145,71.8885518689,43.7446425086,-3.93623385804,-2.41859360396,0
5685.4331516,691.916895686,8191.36844016,78.809722264,47.9058700071,0.00103870802877,0.00474329036562,0
7293.52922416,1117.99706024,9253.66726313,76.800360689,51.2665082323,0.00207947310744,0.005040312142,0
6316.91299204,990.547257288,7999.51005475,62.5587126041,41.773607247,-6.49560214178e-05,0.00108507931221,0
7062.83987082,1161.73526333,8980.07136343,70.6539920316,47.1862101762,-3.90095651114,-2.61528140364,0
