MOM_CENTR1,MOM_CENTR2,POS_CORR1,POS_CORR2,SAP_FLUX,SAP_BKG,PDCSAP_FLUX,RESULT
2.1908647683923295E8,2.1899775740130496E8,2.188602111332362E8,2.1886030513017905E8,2.3642609988E8,2.2083940770699984E8,2.445001393899982E8,0
2.1907666759743497E8,2.1900472827268192E8,2.188600510620993E8,2.1886012899350435E8,2.4130573195E8,2.2246548782000026E8,2.471183359199994E8,0
2.189857423682835E8,2.189517763968621E8,2.1887043964450294E8,2.188678039523476E8,2.3122463677999964E8,2.2037043639300072E8,2.3638280889999968E8,0
2.1909855873834592E8,2.1901019414310926E8,2.1886068948826122E8,2.1886062023887354E8,2.4697269069999963E8,2.2150541955599988E8,2.5466536700000033E8,0
2.22237893060932E8,2.2091785437252176E8,2.1886075142901352E8,2.1886207739334372E8,4.9550365607000643E8,2.4851362185399753E8,6.169887419899937E8,0
2.2238832773388118E8,2.2100677732838604E8,2.1886109036982417E8,2.188619301910874E8,4.966161808000005E8,2.4959132912200224E8,6.107892079799993E8,0
2.1910016835154924E8,2.1900608810843435E8,2.1886054917635706E8,2.188605536398852E8,2.372460369000006E8,2.209636456939994E8,2.4583874923999935E8,0
2.222406913144117E8,2.2091481345295596E8,2.1886087214920795E8,2.1886167004400685E8,4.651245621399969E8,2.489126108550003E8,5.736891278299987E8,0
2.2225489191624215E8,2.2112630222045934E8,2.1886034848368025E8,2.1886055337303585E8,5.471811756700016E8,2.6881696627000034E8,6.349468238999932E8,0
2.2215835971653312E8,2.2106252145608786E8,2.188601276812302E8,2.1886056034752664E8,5.535279957300013E8,2.7131789396999955E8,6.392432786300027E8,0
2.1909884980663148E8,2.1901954641164455E8,2.188693631924369E8,2.1886644841513515E8,2.4324752691000092E8,2.2288155069000006E8,2.4942688500999996E8,0
2.2234794867746222E8,2.2119075719264686E8,2.1886028607502443E8,2.188615027951542E8,5.827448461399981E8,2.8436746147999954E8,6.78926966850004E8,0
2.2163100728151178E8,2.208813168209307E8,2.188608009665211E8,2.188613724802291E8,4.5704890017000306E8,2.5066406944800013E8,5.222427233499973E8,0
2.217313820794683E8,2.2095666601619837E8,2.1886079488806614E8,2.1886154823446873E8,4.894486941499982E8,2.5372339405700138E8,6.146524982000006E8,0
2.1904481080163002E8,2.1899503617686182E8,2.188615967619494E8,2.1886140134742197E8,2.367114158500003E8,2.210794338040005E8,2.4052313403000012E8,0
2.217043697187714E8,2.209389956294431E8,2.18860810175511E8,2.1886090687284607E8,5.006568256499983E8,2.5140553244799814E8,5.586838380999998E8,0
2.222262358494762E8,2.2098048894705656E8,2.1886067809964558E8,2.1886055314751118E8,6.171747122100002E8,2.6228038019899967E8,7.195167590999948E8,0
2.2190113564754087E8,2.2077498847741503E8,2.1886020449484104E8,2.1886074367414895E8,5.755501711499964E8,2.5354979562899965E8,6.658787142000061E8,0
2.190720301446669E8,2.1899349012754077E8,2.188602903245462E8,2.1886032762745643E8,2.4351846767999986E8,2.2120967962899965E8,2.497763876000004E8,0
2.216855390905125E8,2.2063710653116703E8,2.1886046551161477E8,2.188611145609311E8,5.409150028800038E8,2.4875694437199956E8,6.198071797999996E8,0
2.2162655513575596E8,2.2054577451243305E8,2.188607821888703E8,2.1886215770648882E8,4.4283862129000586E8,2.4322839931899908E8,5.2836614132000184E8,0
2.2223954861876157E8,2.2091656779447424E8,2.1886100440925914E8,2.1886178621433827E8,4.8105341975000083E8,2.4815805207399932E8,5.97533304659995E8,0
2.190902804430156E8,2.190000653716982E8,2.1887889155431902E8,2.188718089054268E8,2.360851568899998E8,2.2086075489999944E8,2.4391415423E8,0
2.227002777831304E8,2.211943663160731E8,2.188612454531323E8,2.1886197284369087E8,4.9542779833000034E8,2.5258649543800318E8,6.180174986599971E8,0
2.2222680959235385E8,2.2110745883098304E8,2.1886052236487377E8,2.188605139806783E8,5.386309512499974E8,2.678888744000009E8,6.24453215940005E8,0
2.2152104515864953E8,2.20636938467339E8,2.1886011457241204E8,2.188605592495316E8,4.87726624469997E8,2.6104454517999917E8,5.589543471000024E8,0
2.1908854921371132E8,2.1901266791915694E8,2.1887874920759404E8,2.1887279766888303E8,2.421394240099988E8,2.227173517799999E8,2.4790211060999966E8,0
2.226892671229028E8,2.214186968042573E8,2.1886041071439564E8,2.1886154481456628E8,6.167699984599942E8,2.899459862900018E8,7.259469254199957E8,0
2.190643251294372E8,2.1900928189532658E8,2.1886065486840463E8,2.1886065685194978E8,2.3848454857999992E8,2.2125259090999958E8,2.4656387897999957E8,0
2.188481412508925E8,2.1871641910094687E8,2.1886004185264164E8,2.1886004176588064E8,1.758606192000003E8,2.1732990178999987E8,1.6978051100000042E8,0
2.1886333627330804E8,2.1890029266142002E8,2.1886005052488253E8,2.1886005854356498E8,2.3058152850000018E8,2.1922144046000046E8,2.324126156000002E8,0
2.189207508404026E8,2.1941717225885952E8,2.1886274159416106E8,2.1888255554170612E8,3.541912073E8,2.227219945099995E8,3.870156625000004E8,0
2.1891620067393726E8,2.1943099533537775E8,2.1886005167556158E8,2.1886012939818725E8,3.801511137999998E8,2.2739045173000014E8,3.96573434800002E8,0
2.1890747563811785E8,2.1942976418982044E8,2.188639270654335E8,2.1890206043070862E8,3.816621940000001E8,2.2682542793999982E8,3.948885845000006E8,0
2.18912024012748E8,2.1948594797832096E8,2.1886018327537242E8,2.1886048858867085E8,3.982761315000004E8,2.2438071666999996E8,4.262798276000007E8,0
2.1892408425403646E8,2.1944731779685882E8,2.188602145690906E8,2.1886029854559922E8,3.591772461999997E8,2.2298752305999917E8,3.921203913999998E8,0
2.1891769328105965E8,2.1944660528314516E8,2.1886005316596577E8,2.1886012534574607E8,3.8409181799999994E8,2.2819867734000027E8,3.974618598999984E8,0
2.1888979976340815E8,2.1921742329890227E8,2.1886272425689673E8,2.1888913629440683E8,3.186888360999997E8,2.234665724100002E8,3.291383491000006E8,0
2.1891473410458344E8,2.1952033302853012E8,2.1886031311444044E8,2.1886170695471957E8,4.061588082000008E8,2.251649859700009E8,4.359362284999989E8,0
2.1892795858434984E8,2.1948278788930953E8,2.1886032168576336E8,2.18861178596057E8,3.651780127000003E8,2.2324980835000035E8,4.0001068770000064E8,0
2.189235852016202E8,2.1950665583512074E8,2.188626146979314E8,2.188851098635019E8,3.9751368019999915E8,2.2857716334999952E8,4.1425814270000106E8,0
2.1890368213757673E8,2.193857415214446E8,2.1886057214262804E8,2.188642155450468E8,3.628900148999997E8,2.2565092466999948E8,3.562674479999984E8,0
2.1890863735637972E8,2.194468951238128E8,2.1886018435148498E8,2.1886063014338535E8,3.834079934000003E8,2.2444207244999963E8,4.0670431400000083E8,0
2.1892513950128016E8,2.194571471226894E8,2.1886569873981416E8,2.1890819665699956E8,3.5752336639999944E8,2.2302635113E8,3.886281047000003E8,0
2.1892084134478432E8,2.1947871911896852E8,2.188651879464436E8,2.1891028672753224E8,3.9013661030000037E8,2.2882147266999987E8,4.0308059189999914E8,0
2.18908275759987E8,2.1944126134149036E8,2.1886032005905387E8,2.188615924815787E8,3.7643618350000113E8,2.2618673358000007E8,3.938910586000003E8,0
2.1886342669353986E8,2.1889962638818344E8,2.1886005053002596E8,2.1886005855978775E8,2.2099915739999998E8,2.1896842066900042E8,2.2214560059999934E8,0
2.1892184049880537E8,2.1940881672320625E8,2.1886280347738987E8,2.188822113079058E8,2.4834865260000068E8,2.2127214967299908E8,2.5971142329999912E8,0
2.1891688343888086E8,2.1942346011680803E8,2.188600516015606E8,2.1886012926576114E8,2.5614097280000007E8,2.231231547100005E8,2.619190894999996E8,0
2.189087749684325E8,2.19423525024416E8,2.1886403856935465E8,2.189014355057587E8,2.5563837379999998E8,2.2363785546999988E8,2.6061478769999915E8,0
2.18912870311411E8,2.194768064956111E8,2.1886018378808233E8,2.1886048564319086E8,2.5636071209999996E8,2.213129870429992E8,2.700574055000009E8,0
2.189252569857756E8,2.1943852828197894E8,2.1886021452794E8,2.1886029871724933E8,2.4935876780000046E8,2.2143735071700028E8,2.609439517000001E8,0
2.1891841460944703E8,2.1943889696078855E8,2.1886005310298926E8,2.1886012539472792E8,2.5669668929999995E8,2.232157022500006E8,2.6238339700000018E8,0
2.18890621892472E8,2.1921349360848945E8,2.1886280181597966E8,2.188887025783729E8,2.4174395039999956E8,2.2193021913000003E8,2.4469522809999952E8,0
2.1891563441847312E8,2.1951068310895064E8,2.188603168206627E8,2.1886168485615683E8,2.5805945520000082E8,2.2166118814300007E8,2.7233273809999967E8,0
2.1892921059464517E8,2.1947347574781108E8,2.1886032401236278E8,2.18861165998082E8,2.508522811999995E8,2.2160114354199973E8,2.6297672510000116E8,0
2.189243927413526E8,2.1949816502219677E8,2.18862682375576E8,2.1888473036403432E8,2.6030531950000116E8,2.237159844300005E8,2.6632122009999993E8,0
2.1890490612320256E8,2.193798178752177E8,2.1886058232953045E8,2.188641583051862E8,2.520535256999996E8,2.233860090100001E8,2.512535960000005E8,0
2.189094469134734E8,2.1943832412238392E8,2.1886018535984704E8,2.1886062397243935E8,2.5342102259999955E8,2.21339985516001E8,2.6523507940000007E8,0
2.189263512728004E8,2.1944822673939887E8,2.1886583168818736E8,2.1890745665528783E8,2.4942733805999964E8,2.2146175030499986E8,2.6048994249999857E8,0
2.1892161858478433E8,2.1947059170009646E8,2.188653241087645E8,2.189095243946888E8,2.583894678999996E8,2.235064062799996E8,2.6378695370000023E8,0
